Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,,
кратковременный,7474,short-time,A,B2,LM,3,кратковременные,Nom.Plur,Завтра возможны кратковременные дожди.,A bit of rain possible tomorrow.,_,"описание, внутренний мир, учёба/работа",,,
кредит,7475,credit,N.Masc.Inan,B2,LM,1,кредиты,Acc.Plur,Многие люди берут ипотечные кредиты.,Many people take out a mortgage.,_,"учёба/работа, жильё, магазин",,,
кредит,7476,credit,N.Masc.Inan,B2,LM,2,кредит,Acc.Sing,В прошлом году я взял кредит.,Last year I got a loan.,_,"учёба/работа, жильё, магазин",,,
кредит,7477,credit,N.Masc.Inan,B2,LM,3,кредитов,Gen.Plur,Предоставление кредитов происходит через банки.,Loans are provided through banks.,_,"учёба/работа, жильё, магазин",,,
крем,7478,cream,N.Masc.Inan,B2,LM,1,крем,Nom.Sing,Тональный крем позволяет скрыть недостатки кожи.,Concealer can hide skin imperfections.,_,"здоровье, свободное время",,,
крем,7479,cream,N.Masc.Inan,B2,LM,2,кремом,Ins.Sing,"Я пользуюсь защитным кремом, чтобы защитить кожу от мороза.",I use a protective cream to protect my skin from frost.,_,"здоровье, свободное время",,,
крем,7480,cream,N.Masc.Inan,B2,LM,3,крема,Gen.Sing,Я прекрасно обхожусь без крема.,I do fine without cream.,_,"здоровье, свободное время",,,
крепость,7481,fortress,N.Fem.Inan,B2,LM,1,крепость,Acc.Sing,Воины защищали старую крепость.,Warriors defended the old fortress.,_,"жильё, политика",,,
крепость,7482,fortress,N.Fem.Inan,B2,LM,2,крепости,Gen.Sing,Территория Петропавловской крепости открыта для посещения.,The territory of the Peter and Paul Fortress is open to the public.,_,"жильё, политика",,,
крепость,7483,fortress,N.Fem.Inan,B2,LM,3,крепостью,Ins.Sing,Над крепостью поднялись вражеские флаги.,Enemy flags rose above the fortress.,_,"жильё, политика",,,
крест,7484,cross,N.Masc.Inan,B2,LM,1,крестом,Ins.Sing,Страна имеет соглашение с Красным Крестом.,The country had an agreement with the Red Cross.,_,"внутренний мир, политика",,,
крест,7485,cross,N.Masc.Inan,B2,LM,2,крест,Nom.Sing,Мальтийский крест раньше использовался орденом госпитальеров.,The Maltese cross was formerly used by the Order of Hospitallers.,_,"внутренний мир, политика",,,
крест,7486,cross,N.Masc.Inan,B2,LM,3,крестами,Ins.Plur,Знамёна с крестами очень популярны.,Flag with crosses are very popular.,_,"внутренний мир, политика",,,
кривая,7487,curve,N.Fem.Inan,B2,LM,1,кривой,Gen.Sing,Зависимость представлена в виде кривой.,The dependence is presented as a curve.,_,"учёба/работа, описание",,,
кривая,7488,curve,N.Fem.Inan,B2,LM,2,кривые,Nom.Plur,Кривые спроса и предложения пересекаются.,Supply and demand curves intersect.,_,"учёба/работа, описание",,,
кривая,7489,curve,N.Fem.Inan,B2,LM,3,кривая,Nom.Sing,Кривая спроса показывает зависимость спроса на товар от его цены.,The demand curve shows the dependence of demand for a product on its price.,_,"учёба/работа, описание",,,
лаять,7490,barken,V,B2,LM,1,лаять,Imperf.Inf,Новорождённые щенки не умеют лаять.,Newborn puppies don't know how to bark.,_,"описание, животные/растения",,,
лаять,7491,barken,V,B2,LM,2,лаял,Imperf.Masc.Sing.Past,Пёс лаял на незнакомцев.,The dog barked at strangers.,_,"описание, животные/растения",,,
лаять,7492,barken,A,B2,LM,3,лающих,Gen.Plur,Я услышал лающих собак.,I heard a barking dog.,_,"описание, животные/растения",,,
кривой,7493,curve,A,B2,LM,1,кривая,Nom.Fem.Sing,"Это не улыбка, а кривая ухмылка.","This is not a smile, but a crooked grin.",_,"описание, здоровье",,,
кривой,7494,curve,A,B2,LM,2,кривых,Gen.Plur,Саша зашёл в комнату кривых зеркал.,Sasha went into the room of crooked mirrors.,_,"описание, здоровье",,,
кривой,7495,curve,A,B2,LM,3,кривыми,Ins.Plur,Люди с кривыми ногами стесняются своего недостатка.,People with crooked legs are shy of their lack.,_,"описание, здоровье",,,
крик,7496,shout,N.Masc.Inan,B2,LM,1,крик,Nom.Sing,Раздался жуткий крик.,I heard a terrible scream.,_,"внутренний мир, общение",,,
крик,7497,shout,N.Masc.Inan,B2,LM,2,криком,Ins.Sing,Его смех сменился истошным криком.,His laughter changed to a heart-rending cry.,_,"внутренний мир, общение",,,
крик,7498,shout,N.Masc.Inan,B2,LM,3,криками,Ins.Plur,Она с криками выбежала на улицу.,She went out to the street shouting.,_,"внутренний мир, общение",,,
криминальный,7499,criminal,A,B2,LM,1,криминального,Gen.Masc.Sing,Прошла операция по задержанию известного криминального авторитета.,An operation to detain a well-known criminal authority was held.,_,"описание, учёба/работа, политика",,,
криминальный,7500,criminal,A,B2,LM,2,криминальный,Nom.Masc.Sing,Криминальный мир замер в ожидании перемен.,The criminal world froze in expectation of change.,_,"описание, учёба/работа, политика",,,
криминальный,7501,criminal,A,B2,LM,3,криминальные,Nom.Plur,Сегодня распространены криминальные схемы заработка.,Today criminal patterns of earnings are common.,_,"описание, учёба/работа, политика",,,
критерий,7502,criteria,N.Masc.Inan,B2,LM,1,критерий,Nom.Sing,Критерий качества позволяет оценить объект.,The quality criterion allows you to evaluate the object.,_,учёба/работа,,,
критерий,7503,criteria,N.Masc.Inan,B2,LM,2,критериев,Gen.Plur,Необходимо составить список критериев успеха компании.,You need to make a list of success criteria of the company.,_,учёба/работа,,,
критерий,7504,criteria,N.Masc.Inan,B2,LM,3,критерии,Nom.Plur,Критерии оценки были разработаны специалистами.,Evaluation criteria were developed by specialists.,_,учёба/работа,,,
критик,7505,critic,N.Masc.Anim,B2,LM,1,критик,Nom.Sing,Критик отмечает оригинальность сюжета фильма.,The critic notes the originality of the film plot.,_,"учёба/работа, люди",,,
критик,7506,critic,N.Masc.Anim,B2,LM,2,критики,Nom.Plur,"Критики утверждают, что реклама отрицательно влияет на систему ценностей.",Critics argue that advertising negatively affects the value system.,_,"учёба/работа, люди",,,
критик,7507,critic,N.Masc.Anim,B2,LM,3,критика,Gen.Sing,Вышла новая книга известного литературного критика.,A new book by a well-known literary critic has been released.,_,"учёба/работа, люди",,,
критика,7508,criticism,N.Fem.Inan,B2,LM,1,критика,Nom.Sing,Критика теории относительности появилась довольно давно.,Criticism of the relativity appeared quite a long time ago.,_,учёба/работа,,,
критика,7509,criticism,N.Fem.Inan,B2,LM,2,критики,Gen.Sing,Его стихи стали объектом критики.,His poems was the object of criticism.,_,учёба/работа,,,
критика,7510,criticism,N.Fem.Inan,B2,LM,3,критике,Loc.Sing,Недавно я прочитал интересную книгу о критике.,Recently I've read an interesting book about criticism.,_,учёба/работа,,,
критический,7511,critical,A,B2,LM,1,критических,Gen.Plur,Учёный прочитал немало критических статей.,The scientist has read many critical articles.,_,"описание, учёба/работа",,,
критический,7512,critical,A,B2,LM,2,критические,Inan.Acc.Plur,Я учту все критические замечания.,I'll take into account all ctitical comments.,_,"описание, учёба/работа",,,
критический,7513,critical,A,B2,LM,3,критической,Gen.Fem.Sing,Число больных достигло критической отметки.,The number of diseased has reached a critical point.,_,"описание, учёба/работа",,,
кровяной,7514,blood,A,B2,LM,1,кровяных,Gen.Plur,У человека есть несколько типов кровяных клеток.,People have several types of blood cells.,_,"описание, здоровье",,,
кровяной,7515,blood,A,B2,LM,2,кровяное,Inan.Acc.Neut.Sing,Моя бабушка часто измеряет кровяное давление.,My grandmother often measures blood pressure.,_,"описание, здоровье",,,
кровяной,7516,blood,A,B2,LM,3,кровяной,Ins.Fem.Sing,Паша приготовил спагетти с кровяной колбасой.,Pasha cooked spaghetti with black pudding.,_,"описание, здоровье",,,
кроссворд,7517,crossword,N.Masc.Inan,B2,LM,1,кроссвордов,Gen.Plur,Разгадывание кроссвордов развивает мозг.,Crossword puzzles develop the brain.,_,свободное время,,,
кроссворд,7518,crossword,N.Masc.Inan,B2,LM,2,кроссвордам,Dat.Plur,К кроссвордам сегодня складывается неоднозначное отношение.,People today express mixed feelings to crossword puzzles.,_,свободное время,,,
кроссворд,7519,crossword,N.Masc.Inan,B2,LM,3,кроссворд,Acc.Sing,Я взял с собой в дорогу кроссворд.,I took the crossword puzzle on the road.,_,свободное время,,,
круг,7520,circle,N.Masc.Inan,B2,LM,1,круг,Nom.Sing,В этом случае возникает порочный круг.,"In this case, a vicious circle arises.",_,"учёба/работа, общение",,,
круг,7521,circle,N.Masc.Inan,B2,LM,2,круга,Gen.Sing,Он работал с произведениями широкого круга авторов.,He worked with the creations of a wide range of authors.,_,"учёба/работа, общение",,,
круг,7522,circle,N.Masc.Inan,B2,LM,3,кругах,Loc.Plur,Атмосфера неопределённости царит во властных кругах России.,An atmosphere of uncertainty reigns in the leading circles of Russia.,_,"учёба/работа, общение",,,
крупа,7523,_,N.Fem.Inan,B2,LM,1,крупы,Gen.Sing,_,_,_,_,,,
крупа,7524,_,N.Fem.Inan,B2,LM,2,крупу,Acc.Sing,_,_,_,_,,,
крупа,7525,_,N.Fem.Inan,B2,LM,3,крупа,Nom.Sing,_,_,_,_,,,
крышка,7526,_,N.Fem.Inan,B2,LM,1,крышку,Acc.Sing,_,_,_,_,,,
крышка,7527,_,N.Fem.Inan,B2,LM,2,крышка,Nom.Sing,_,_,_,_,,,
крышка,7528,_,N.Fem.Inan,B2,LM,3,крышки,Gen.Sing,_,_,_,_,,,
кукла,7529,_,N.Fem.Inan,B2,LM,1,куклы,Gen.Sing,_,_,_,_,,,
кукла,7530,_,N.Fem.Inan,B2,LM,2,кукол,Gen.Plur,_,_,_,_,,,
кукла,7531,_,N.Fem.Inan,B2,LM,3,кукла,Nom.Sing,_,_,_,_,,,
кукуруза,7532,_,N.Fem.Inan,B2,LM,1,кукурузы,Gen.Sing,_,_,_,_,,,
кукуруза,7533,_,N.Fem.Inan,B2,LM,2,кукуруза,Nom.Sing,_,_,_,_,,,
кукуруза,7534,_,N.Fem.Inan,B2,LM,3,кукурузу,Acc.Sing,_,_,_,_,,,
кулинария,7535,_,N.Fem.Inan,B2,LM,1,кулинарию,Acc.Sing,_,_,_,_,,,
кулинария,7536,_,N.Fem.Inan,B2,LM,2,кулинарии,Loc.Sing,_,_,_,_,,,
кульминация,7537,_,N.Fem.Inan,B2,LM,1,кульминация,Nom.Sing,_,_,_,_,,,
кульминация,7538,_,N.Fem.Inan,B2,LM,2,кульминации,Nom.Plur,_,_,_,_,,,
купальник,7539,_,N.Masc.Inan,B2,"Golosa, LM",1,купальнике,Loc.Sing,_,_,_,_,,,
купальник,7540,_,N.Masc.Inan,B2,"Golosa, LM",2,купальник,Nom.Sing,_,_,_,_,,,
курьер,7541,_,N.Masc.Anim,B2,LM,1,курьеров,Gen.Plur,_,_,_,_,,,
курьер,7542,_,N.Masc.Anim,B2,LM,2,курьера,Acc.Sing,_,_,_,_,,,
курьер,7543,_,N.Masc.Anim,B2,LM,3,курьеры,Nom.Plur,_,_,_,_,,,
лезть,7544,creep,V,B2,LM,1,лезет,Imperf.Sing.3,_,_,_,_,,,
лезть,7545,creep,V,B2,LM,2,лезут,Imperf.Plur.3,_,_,_,_,,,
лезть,7546,creep,V,B2,LM,3,лезть,Imperf.Inf,_,_,_,_,,,
лениться,7547,be lazy,V,B2,LM,1,лениться,Imperf.Inf,_,_,_,_,,,
лениться,7548,be lazy,V,B2,LM,2,ленитесь,Imperf.Imper.Plur.2,_,_,_,_,,,
лениться,7549,be lazy,V,B2,LM,3,ленился,Imperf.Masc.Sing.Past,_,_,_,_,,,
кусок,7550,_,N.Masc.Inan,B2,"Golosa, LM",1,кусок,Acc.Sing,_,_,_,_,,,
кусок,7551,_,N.Masc.Inan,B2,"Golosa, LM",2,куски,Acc.Plur,_,_,_,_,,,
кусок,7552,_,N.Masc.Inan,B2,"Golosa, LM",3,куском,Ins.Sing,_,_,_,_,,,
какао,7553,_,N.Neut.Inan,B2,LM,1,какао,Nom.Sing,_,_,_,_,,,
ликвидировать,7554,liquidate,V,B2,LM,1,ликвидировать,Imperf.Inf,_,_,_,_,,,
ликвидировать,7555,liquidate,A,B2,LM,2,ликвидированы,Perf.PastPassiveParticiple.Plur,_,_,_,_,,,
ликвидировать,7556,liquidate,A,B2,LM,3,ликвидирован,Perf.PastPassiveParticiple.Masc.Sing,_,_,_,_,,,
ладонь,7557,_,N.Fem.Inan,B2,LM,1,ладонью,Ins.Sing,_,_,_,_,,,
ладонь,7558,_,N.Fem.Inan,B2,LM,2,ладонь,Acc.Sing,_,_,_,_,,,
ладонь,7559,_,N.Fem.Inan,B2,LM,3,ладонями,Ins.Plur,_,_,_,_,,,
лазерный,7560,_,A,B2,LM,1,лазерной,Gen.Fem.Sing,_,_,_,_,,,
лазерный,7561,_,A,B2,LM,2,лазерного,Gen.Neut.Sing,_,_,_,_,,,
лазерный,7562,_,A,B2,LM,3,лазерных,Loc.Plur,_,_,_,_,,,
лак,7563,_,N.Masc.Inan,B2,LM,1,лаком,Ins.Sing,_,_,_,_,,,
лак,7564,_,N.Masc.Inan,B2,LM,2,лак,Acc.Sing,_,_,_,_,,,
лампочка,7565,_,N.Fem.Inan,B2,"MiP, LM",1,лампочку,Acc.Sing,_,_,_,_,,,
лампочка,7566,_,N.Fem.Inan,B2,"MiP, LM",2,лампочка,Nom.Sing,_,_,_,_,,,
лампочка,7567,_,N.Fem.Inan,B2,"MiP, LM",3,лампочки,Nom.Plur,_,_,_,_,,,
ландыш,7568,_,N.Masc.Inan,B2,LM,1,ландыш,Nom.Sing,_,_,_,_,,,
ландыш,7569,_,N.Masc.Inan,B2,LM,2,ландухи,Nom.Plur,_,_,_,_,,,
лапша,7570,_,N.Fem.Inan,B2,LM,1,лапшой,Ins.Sing,_,_,_,_,,,
лапша,7571,_,N.Fem.Inan,B2,LM,2,лапши,Gen.Sing,_,_,_,_,,,
ласковый,7572,_,A,B2,LM,1,ласковым,Ins.Masc.Sing,_,_,_,_,,,
ласковый,7573,_,A,B2,LM,2,ласковый,Nom.Masc.Sing,_,_,_,_,,,
ласковый,7574,_,A,B2,LM,3,ласковые,Inan.Acc.Plur,_,_,_,_,,,
ласточка,7575,_,N.Fem.Anim,B2,LM,1,ласточки,Nom.Plur,_,_,_,_,,,
ласточка,7576,_,N.Fem.Anim,B2,LM,2,ласточками,Ins.Plur,_,_,_,_,,,
ласточка,7577,_,N.Fem.Anim,B2,LM,3,ласточка,Nom.Sing,_,_,_,_,,,
латиноамериканец,7578,_,N.Masc.Anim,B2,LM,1,латиноамериканцев,Gen.Plur,_,_,_,_,,,
латиноамериканец,7579,_,N.Masc.Anim,B2,LM,2,латиноамериканца,Acc.Sing,_,_,_,_,,,
латинский,7580,_,A,B2,LM,1,латинскую,Acc.Fem.Sing,_,_,_,_,,,
латинский,7581,_,A,B2,LM,2,латинской,Loc.Fem.Sing,_,_,_,_,,,
латинский,7582,_,A,B2,LM,3,латинского,Gen.Neut.Sing,_,_,_,_,,,
латыш,7583,_,N.Masc.Anim,B2,LM,1,латышам,Dat.Plur,_,_,_,_,,,
латыш,7584,_,N.Masc.Anim,B2,LM,2,латыш,Nom.Sing,_,_,_,_,,,
лауреат,7585,_,N.Masc.Anim,B2,LM,1,лауреат,Nom.Sing,_,_,_,_,,,
лауреат,7586,_,N.Masc.Anim,B2,LM,2,лауреатом,Ins.Sing,_,_,_,_,,,
лауреат,7587,_,N.Masc.Anim,B2,LM,3,лауреата,Gen.Sing,_,_,_,_,,,
литься,7588,rain,V,B2,LM,1,льётся,Imperf.Sing.3,_,_,_,_,,,
литься,7589,rain,V,B2,LM,2,лилась,Imperf.Fem.Sing.Past,_,_,_,_,,,
литься,7590,_,A,B2,LM,3,льющиеся,Nom.Plur,_,_,_,_,,,
лев,7591,_,N.Masc.Anim,B2,LM,1,лев,Nom.Sing,_,_,_,_,,,
лев,7592,_,N.Masc.Anim,B2,LM,2,львов,Acc.Plur,_,_,_,_,,,
лев,7593,_,N.Masc.Anim,B2,LM,3,льва,Gen.Sing,_,_,_,_,,,
легальный,7594,_,A,B2,LM,1,легальными,Ins.Plur,_,_,_,_,,,
легальный,7595,_,A,B2,LM,2,легальных,Loc.Plur,_,_,_,_,,,
легальный,7596,_,A,B2,LM,3,легальная,Nom.Fem.Sing,_,_,_,_,,,
легенда,7597,_,N.Fem.Inan,B2,LM,1,легенда,Nom.Sing,_,_,_,_,,,
легенда,7598,_,N.Fem.Inan,B2,LM,2,легенды,Nom.Plur,_,_,_,_,,,
легенда,7599,_,N.Fem.Inan,B2,LM,3,легенде,Dat.Sing,_,_,_,_,,,
легкомысленный,7600,_,A,B2,"LM, Кс",1,легкомысленных,Gen.Plur,_,_,_,_,,,
легкомысленный,7601,_,A,B2,"LM, Кс",2,легкомысленный,Nom.Masc.Sing,_,_,_,_,,,
легкомысленный,7602,_,A,B2,"LM, Кс",3,легкомысленные,Nom.Plur,_,_,_,_,,,
ломаться,7603,break,V,B2,"MiP, LM",1,ломаясь,Imperf.Gerund,_,_,_,_,,,
ломаться,7604,_,A,B2,"MiP, LM",2,ломающегося,Imperf.PresentActivieParticiple.Gen.Neut.Sing,_,_,_,_,,,
ломаться,7605,break,V,B2,"MiP, LM",3,ломаются,Imperf.Plur.3,_,_,_,_,,,
лейтенант,7606,_,N.Masc.Anim,B2,LM,1,лейтенант,Nom.Sing,_,_,_,_,,,
лейтенант,7607,_,N.Masc.Anim,B2,LM,2,лейтенанту,Dat.Sing,_,_,_,_,,,
лейтенант,7608,_,N.Masc.Anim,B2,LM,3,лейтенантов,Gen.Plur,_,_,_,_,,,
лектор,7609,_,N.Masc.Anim,B2,LM,1,лекторы,Nom.Plur,_,_,_,_,,,
лектор,7610,_,N.Masc.Anim,B2,LM,2,лектор,Nom.Sing,_,_,_,_,,,
лектор,7611,_,N.Masc.Anim,B2,LM,3,лекторов,Gen.Plur,_,_,_,_,,,
ленивый,7612,_,A,B2,"LM, Кс",1,ленивый,Nom.Masc.Sing,_,_,_,_,,,
ленивый,7613,_,A,B2,"LM, Кс",2,ленивые,Nom.Plur,_,_,_,_,,,
ленивый,7614,lazy,A,B2,"LM, Кс",3,ленив,Masc.Sing,_,_,_,_,,,
любоваться,7615,delight,V,B2,LM,1,любуясь,Imperf.Gerund,_,_,_,_,,,
любоваться,7616,delight,V,B2,LM,2,любоваться,Imperf.Inf,_,_,_,_,,,
любоваться,7617,delight,V,B2,LM,3,любуется,Imperf.Sing.3,_,_,_,_,,,
лень,7618,_,N.Fem.Inan,B2,LM,1,лень,Nom.Sing,_,_,_,_,,,
лень,7619,_,N.Fem.Inan,B2,LM,2,лени,Gen.Sing,_,_,_,_,,,
лень,7620,_,N.Fem.Inan,B2,LM,3,ленью,Ins.Sing,_,_,_,_,,,
либеральный,7621,_,A,B2,LM,1,либеральная,Nom.Fem.Sing,_,_,_,_,,,
либеральный,7622,_,A,B2,LM,2,либеральным,Ins.Masc.Sing,_,_,_,_,,,
либеральный,7623,_,A,B2,LM,3,либеральный,Nom.Masc.Sing,_,_,_,_,,,
ливанец,7624,_,N.Masc.Anim,B2,LM,1,ливанец,Nom.Sing,_,_,_,_,,,
ладоши,7625,_,N.Fem.Inan,B2,LM,1,ладоши,Acc.Plur,_,_,_,_,,,
лидер,7626,_,N.Masc.Anim,B2,LM,1,лидеры,Nom.Plur,_,_,_,_,,,
лидер,7627,_,N.Masc.Anim,B2,LM,2,лидер,Nom.Sing,_,_,_,_,,,
лидер,7628,_,N.Masc.Anim,B2,LM,3,лидеров,Gen.Plur,_,_,_,_,,,
определять,7629,identify,V,B2,LM,1,определяет,Imperf.Sing.3,_,_,_,_,,,
определять,7630,identify,V,B2,LM,2,определять,Imperf.Inf,_,_,_,_,,,
определять,7631,identify,V,B2,LM,3,определяют,Imperf.Plur.3,_,_,_,_,,,
ликер,7632,_,N.Masc.Inan,B2,LM,1,ликёра,Gen.Sing,_,_,_,_,,,
ликер,7633,_,N.Masc.Inan,B2,LM,2,ликёр,Acc.Sing,_,_,_,_,,,
ликер,7634,_,N.Masc.Inan,B2,LM,3,ликёров,Gen.Plur,_,_,_,_,,,
линия,7635,_,N.Fem.Inan,B2,LM,1,линий,Gen.Plur,_,_,_,_,,,
линия,7636,_,N.Fem.Inan,B2,LM,2,линии,Gen.Sing,_,_,_,_,,,
линия,7637,_,N.Fem.Inan,B2,LM,3,линия,Nom.Sing,_,_,_,_,,,
лиса,7638,_,N.Fem.Anim,B2,LM,1,лису,Acc.Sing,_,_,_,_,,,
лиса,7639,_,N.Fem.Anim,B2,LM,2,лиса,Nom.Sing,_,_,_,_,,,
лиса,7640,_,N.Fem.Anim,B2,LM,3,лисы,Nom.Plur,_,_,_,_,,,
литовец,7641,_,N.Masc.Anim,B2,LM,1,литовцем,Ins.Sing,_,_,_,_,,,
литовец,7642,_,N.Masc.Anim,B2,LM,2,литовцев,Gen.Plur,_,_,_,_,,,
литовец,7643,_,N.Masc.Anim,B2,LM,3,литовец,Nom.Sing,_,_,_,_,,,
литр,7644,_,N.Masc.Inan,B2,"Golosa, LM",1,литра,Gen.Sing,_,_,_,_,,,
литр,7645,_,N.Masc.Inan,B2,"Golosa, LM",2,л,Acc.Sing,_,_,_,_,,,
литр,7646,_,N.Masc.Inan,B2,"Golosa, LM",3,литров,Gen.Plur,_,_,_,_,,,
рассматривать,7647,analyze,V,B2,LM,1,рассматривать,Imperf.Inf,_,_,_,_,,,
рассматривать,7648,analyze,V,B2,LM,2,рассматривает,Imperf.Sing.3,_,_,_,_,,,
рассматривать,7649,analyze,V,B2,LM,3,рассматривал,Imperf.Masc.Sing.Past,_,_,_,_,,,
лицей,7650,_,N.Masc.Inan,B2,LM,1,лицей,Nom.Sing,_,_,_,_,,,
лицей,7651,_,N.Masc.Inan,B2,LM,2,лицее,Loc.Sing,_,_,_,_,,,
лицей,7652,_,N.Masc.Inan,B2,LM,3,лицея,Gen.Sing,_,_,_,_,,,
личность,7653,_,N.Fem.Inan,B2,LM,1,личности,Gen.Sing,_,_,_,_,,,
личность,7654,_,N.Fem.Inan,B2,LM,2,личность,Nom.Sing,_,_,_,_,,,
личность,7655,_,N.Fem.Inan,B2,LM,3,личностей,Gen.Plur,_,_,_,_,,,
логика,7656,_,N.Fem.Inan,B2,LM,1,логики,Gen.Sing,_,_,_,_,,,
логика,7657,_,N.Fem.Inan,B2,LM,2,логика,Nom.Sing,_,_,_,_,,,
логика,7658,_,N.Fem.Inan,B2,LM,3,логике,Dat.Sing,_,_,_,_,,,
логичный,7659,consistent,A,B2,LM,1,логично,Neut.Sing,_,_,_,_,,,
логичный,7660,_,A,B2,LM,2,логичным,Ins.Neut.Sing,_,_,_,_,,,
логичный,7661,consistent,A,B2,LM,3,логичны,Plur,_,_,_,_,,,
лоджия,7662,_,N.Fem.Inan,B2,LM,1,лоджия,Nom.Sing,_,_,_,_,,,
лоджия,7663,_,N.Fem.Inan,B2,LM,2,лоджий,Gen.Plur,_,_,_,_,,,
ложь,7664,_,N.Fem.Inan,B2,LM,1,лжи,Gen.Sing,_,_,_,_,,,
ложь,7665,_,N.Fem.Inan,B2,LM,2,ложь,Nom.Sing,_,_,_,_,,,
ложь,7666,_,N.Fem.Inan,B2,LM,3,ложью,Ins.Sing,_,_,_,_,,,
мазать,7667,_,A,B2,LM,1,мазанные,Nom.Plur,_,_,_,_,,,
мазать,7668,spread,V,B2,LM,2,мазали,Imperf.Plur.Past,_,_,_,_,,,
лотерея,7669,_,N.Fem.Inan,B2,LM,1,лотерее,Loc.Sing,_,_,_,_,,,
лотерея,7670,_,N.Fem.Inan,B2,LM,2,лотерею,Acc.Sing,_,_,_,_,,,
лотерея,7671,_,N.Fem.Inan,B2,LM,3,лотереи,Acc.Plur,_,_,_,_,,,
лужа,7672,_,N.Fem.Inan,B2,LM,1,лужу,Acc.Sing,_,_,_,_,,,
лужа,7673,_,N.Fem.Inan,B2,LM,2,лужи,Gen.Sing,_,_,_,_,,,
лужа,7674,_,N.Fem.Inan,B2,LM,3,лужа,Nom.Sing,_,_,_,_,,,
лыжник,7675,_,N.Masc.Anim,B2,"MiP, LM",1,лыжников,Gen.Plur,_,_,_,_,,,
лысый,7676,_,A,B2,LM,1,лысым,Ins.Masc.Sing,_,_,_,_,,,
лысый,7677,_,A,B2,LM,2,лысый,Nom.Masc.Sing,_,_,_,_,,,
лысый,7678,_,A,B2,LM,3,лысых,Gen.Plur,_,_,_,_,,,
льгота,7679,_,N.Fem.Inan,B2,LM,1,льгот,Gen.Plur,_,_,_,_,,,
льгота,7680,_,N.Fem.Inan,B2,LM,2,льготы,Nom.Plur,_,_,_,_,,,
льгота,7681,_,N.Fem.Inan,B2,LM,3,льготами,Ins.Plur,_,_,_,_,,,
любитель,7682,_,N.Masc.Anim,B2,LM,1,любители,Nom.Plur,_,_,_,_,,,
любитель,7683,_,N.Masc.Anim,B2,LM,2,любителей,Gen.Plur,_,_,_,_,,,
любитель,7684,_,N.Masc.Anim,B2,LM,3,любитель,Nom.Sing,_,_,_,_,,,
мариновать,7685,_,A,B2,LM,1,маринованные,Nom.Plur,_,_,_,_,,,
любознательный,7686,_,A,B2,LM,1,любознательным,Ins.Masc.Sing,_,_,_,_,,,
любознательный,7687,inquiring,A,B2,LM,2,любознательны,Plur,_,_,_,_,,,
любознательный,7688,_,A,B2,LM,3,любознательного,Gen.Masc.Sing,_,_,_,_,,,
любопытный,7689,_,A,B2,LM,1,любопытный,Nom.Masc.Sing,_,_,_,_,,,
любопытный,7690,curious,A,B2,LM,2,любопытно,Neut.Sing,_,_,_,_,,,
любопытный,7691,_,A,B2,LM,3,любопытная,Nom.Fem.Sing,_,_,_,_,,,
любопытство,7692,_,N.Neut.Inan,B2,LM,1,любопытством,Ins.Sing,_,_,_,_,,,
любопытство,7693,_,N.Neut.Inan,B2,LM,2,любопытство,Acc.Sing,_,_,_,_,,,
любопытство,7694,_,N.Neut.Inan,B2,LM,3,любопытства,Gen.Sing,_,_,_,_,,,
люстра,7695,_,N.Fem.Inan,B2,LM,1,люстра,Nom.Sing,_,_,_,_,,,
люстра,7696,_,N.Fem.Inan,B2,LM,2,люстры,Nom.Plur,_,_,_,_,,,
люстра,7697,_,N.Fem.Inan,B2,LM,3,люстру,Acc.Sing,_,_,_,_,,,
магистр,7698,_,N.Masc.Anim,B2,LM,1,магистр,Nom.Sing,_,_,_,_,,,
магистр,7699,_,N.Masc.Anim,B2,LM,2,магистра,Gen.Sing,_,_,_,_,,,
магистр,7700,_,N.Masc.Anim,B2,LM,3,магистров,Gen.Plur,_,_,_,_,,,
махать,7701,swing,V,B2,LM,1,машет,Imperf.Sing.3,_,_,_,_,,,
махать,7702,swing,V,B2,LM,2,махать,Imperf.Inf,"Прежде чем лететь, бабочки начинают махать крыльями.","Before they fly, the butterflies begin to flap their wings.",_,люди,,,
махать,7703,swing,V,B2,LM,3,махая,Imperf.Gerund,"Женщины возмущались, махая руками.","The women were protesting, waving their hands.",_,люди,,,
майонез,7704,mayonnaise,N.Masc.Inan,B2,LM,1,майонезом,Ins.Sing,Ты будешь салат с майонезом или с маслом?,Do you want a salad with mayonnaise or oil?,_,"еда, магазин",,,
майонез,7705,mayonnaise,N.Masc.Inan,B2,LM,2,майонез,Nom.Sing,Из чего состоит майонез?,What is mayonnaise made of?,_,"еда, магазин",,,
майонез,7706,mayonnaise,N.Masc.Inan,B2,LM,3,майонеза,Gen.Sing,"Мне мясо без майонеза, пожалуйста!","Meat without mayonnaise for me, please!",_,"еда, магазин",,,
майор,7707,major,N.Masc.Anim,B2,LM,1,майор,Nom.Sing,Его папа — майор полиции.,His dad is a police major.,_,"люди, учёба/работа",,,
майор,7708,major,N.Masc.Anim,B2,LM,2,майору,Dat.Sing,"То, что я рассказывал о нём майору, выглядело совершенно безобидно.",What I had told the major about him seemed totally innocent.,_,"люди, учёба/работа",,,
